name,type,mappedLocationId,margin,freight,updatedAt,state,parentToChildDistance
AMRELI,LOCATION,,,,2023-10-19T17:42:01.461Z,GUJARAT,118
SONBHADRA,LOCATION,,,,2023-10-19T17:42:01.461Z,UTTAR PRADESH,81
SAILU,LOCATION,,,,2023-10-19T17:42:01.461Z,MAHARASHTRA,
NAVSARI,LOCATION,,,,2024-06-27T12:08:13.317Z,GUJARAT,37
HOOGHLY,LOCATION,,,,2024-01-01T06:31:16.976Z,WEST BENGAL,53
PATAN,LOCATION,,,,2023-10-19T17:42:01.461Z,GUJARAT,
DAMAN,LOCATION,,,,2023-10-19T17:42:01.462Z,DNHDD,
NELLORE,LOCATION,,,,2023-10-19T17:42:01.462Z,ANDHRA PRADESH,201
DHULE,LOCATION,,,,2023-10-19T17:42:01.462Z,MAHARASHTRA,
SURENDRANAGAR,LOCATION,,,,2024-06-14T07:09:56.999Z,GUJARAT,105
VALSAD,LOCATION,,,,2024-07-01T11:28:35.860Z,GUJARAT,49
LUCKNOW,LOCATION,,,,2023-10-19T17:42:01.463Z,UTTAR PRADESH,92
MEHSANA,LOCATION,,,,2024-07-18T05:41:16.060Z,GUJARAT,75
BHOPAL,LOCATION,,,,2023-10-19T17:42:01.463Z,MADHYA PRADESH,
RATNAGIRI,LOCATION,,,,2023-10-19T17:42:01.463Z,MAHARASHTRA,
BENGALURU RURAL,LOCATION,,,,2023-10-19T17:42:01.463Z,KARNATAKA,
FATEHGARH SAHIB,LOCATION,,,,2023-10-19T17:42:01.463Z,PUNJAB,64
KOLLAM,LOCATION,,,,2023-10-19T17:42:01.464Z,KERALA,64
BURHANPUR,LOCATION,,,,2023-10-19T17:42:01.464Z,MADHYA PRADESH,69
BILASPUR,LOCATION,,,,2023-10-19T17:42:01.464Z,CHHATTISGARH,
VIJAYWADA,LOCATION,,,,2023-10-19T17:42:01.464Z,ANDHRA PRADESH,
MORADABAD,LOCATION,,,,2024-01-05T16:57:44.061Z,UTTAR PRADESH,39
NAWADA,LOCATION,,,,2023-10-19T17:42:01.465Z,BIHAR,59
ANJAW,LOCATION,,,,2023-10-19T17:42:01.465Z,ARUNACHAL PRADESH,
ALAPPUZHA,LOCATION,,,,2023-10-19T17:42:01.453Z,KERALA,46
GORAKHPUR,LOCATION,,,,2023-10-19T17:42:01.453Z,UTTAR PRADESH,
PAURI GARHWAL,LOCATION,,,,2023-10-19T17:42:01.454Z,UTTARAKHAND,139
TAMENGLONG,LOCATION,,,,2023-10-19T17:42:01.454Z,MANIPUR,
WEST GARO HILLS,LOCATION,,,,2023-10-19T17:42:01.454Z,MEGHALAYA,58
AIZAWL,LOCATION,,,,2023-10-19T17:42:01.454Z,MIZORAM,
MAHABUBABAD,LOCATION,,,,2023-10-19T17:42:01.454Z,TELANGANA,72
JALNA,LOCATION,,,,2024-06-15T04:33:16.022Z,MAHARASHTRA,59
RAJKOT,LOCATION,,,,2023-12-21T05:36:43.665Z,GUJARAT,
SHIMLA,LOCATION,,,,2023-10-19T17:42:01.455Z,HIMACHAL PRADESH,
RAJOURI,LOCATION,,,,2023-10-19T17:42:01.455Z,JAMMU AND KASHMIR,
CHANGLANG,LOCATION,,,,2023-10-19T17:42:01.455Z,ARUNACHAL PRADESH,
KOTTAYAM,LOCATION,,,,2023-10-19T17:42:01.456Z,KERALA,
UTTAR DINAJPUR,LOCATION,,,,2023-10-19T17:42:01.457Z,WEST BENGAL,78
ERNAKULAM,LOCATION,,,,2023-10-19T17:42:01.457Z,KERALA,
SURAT,LOCATION,,,,2023-10-19T17:42:01.457Z,GUJARAT,
PURULIA,LOCATION,,,,2023-10-19T17:42:01.457Z,WEST BENGAL,
JHANSI,LOCATION,,,,2023-10-19T17:42:01.457Z,UTTAR PRADESH,103
UDAIPUR,LOCATION,,,,2023-10-19T17:42:01.458Z,RAJASTHAN,
HOSHIARPUR,LOCATION,,,,2023-10-19T17:42:01.458Z,PUNJAB,
WEST KAMENG,LOCATION,,,,2023-10-19T17:42:01.458Z,ARUNACHAL PRADESH,
BALRAMPUR(UP),LOCATION,,,,2023-10-19T17:42:01.458Z,UTTAR PRADESH,
LALITPUR,LOCATION,,,,2023-10-19T17:42:01.459Z,UTTAR PRADESH,
PASCHIM MEDINIPUR,LOCATION,,,,2023-10-19T17:42:01.459Z,WEST BENGAL,
VAISHALI,LOCATION,,,,2023-10-19T17:42:01.459Z,BIHAR,
SUPAUL,LOCATION,,,,2023-10-19T17:42:01.459Z,BIHAR,34
GONDA,LOCATION,,,,2023-10-19T17:42:01.459Z,UTTAR PRADESH,62
PEDDAPALLI,LOCATION,,,,2023-10-19T17:42:01.459Z,TELANGANA,
MIRZAPUR,LOCATION,,,,2023-10-19T17:42:01.460Z,UTTAR PRADESH,61
RAICHUR,LOCATION,,,,2023-10-19T17:42:01.460Z,KARNATAKA,73
SHAHDOL,LOCATION,,,,2023-10-19T17:42:01.460Z,MADHYA PRADESH,
BHADOHI,LOCATION,,,,2023-10-19T17:42:01.460Z,UTTAR PRADESH,
FATEHPUR,LOCATION,,,,2023-10-19T17:42:01.461Z,UTTAR PRADESH,82
KULLU,LOCATION,,,,2023-10-19T17:42:01.461Z,HIMACHAL PRADESH,
DHARMAPURI,LOCATION,,,,2023-10-19T17:42:01.461Z,TAMIL NADU,66
FARRUKHABAD,LOCATION,,,,2023-10-19T17:42:01.461Z,UTTAR PRADESH,58
BARABANKI,LOCATION,,,,2023-10-19T17:42:01.461Z,UTTAR PRADESH,100
GURDASPUR,LOCATION,,,,2023-10-19T17:42:01.462Z,PUNJAB,74
EAST SIKKIM,LOCATION,,,,2023-10-19T17:42:01.462Z,SIKKIM,57
AGRA,LOCATION,,,,2023-10-19T17:42:01.462Z,UTTAR PRADESH,
RAMBAN,LOCATION,,,,2023-10-19T17:42:01.462Z,JAMMU AND KASHMIR,137
FAZILKA,LOCATION,,,,2023-10-19T17:42:01.462Z,PUNJAB,
LAKHIMPUR,LOCATION,,,,2023-10-19T17:42:01.462Z,ASSAM,
REWA,LOCATION,,,,2023-10-19T17:42:01.463Z,MADHYA PRADESH,
DEHRADUN,LOCATION,,,,2023-10-19T17:42:01.463Z,UTTARAKHAND,57
BULANDSHAHR,LOCATION,,,,2023-10-19T17:42:01.463Z,UTTAR PRADESH,
ANAND,LOCATION,,,,2024-06-14T09:29:45.181Z,GUJARAT,77
ANANTNAG,LOCATION,,,,2023-10-19T17:42:01.463Z,JAMMU AND KASHMIR,
BUDGAM,LOCATION,,,,2023-10-19T17:42:01.464Z,JAMMU AND KASHMIR,26
SIANG,LOCATION,,,,2023-10-19T17:42:01.464Z,ARUNACHAL PRADESH,
DARRANG,LOCATION,,,,2023-10-19T17:42:01.464Z,ASSAM,
LOHARDAGA,LOCATION,,,,2023-10-19T17:42:01.464Z,JHARKHAND,72
NAMSAI,LOCATION,,,,2023-10-19T17:42:01.465Z,ARUNACHAL PRADESH,
SHAJAPUR,LOCATION,,,,2023-10-19T17:42:01.465Z,MADHYA PRADESH,99
FIROZPUR,LOCATION,,,,2023-10-19T17:42:01.465Z,PUNJAB,
SANGAREDDY,LOCATION,,,,2024-07-01T11:28:23.720Z,TELANGANA,63
KHUNTI,LOCATION,,,,2023-10-19T17:42:01.465Z,JHARKHAND,33
SONITPUR,LOCATION,,,,2023-10-19T17:42:01.465Z,ASSAM,
SOUTH GARO HILLS,LOCATION,,,,2023-10-19T17:42:01.465Z,MEGHALAYA,88
HINGOLI,LOCATION,,,,2023-10-19T17:42:01.466Z,MAHARASHTRA,
ADILABAD,LOCATION,,,,2023-10-19T17:42:01.466Z,TELANGANA,
NARAYANPUR,LOCATION,,,,2023-10-19T17:42:01.466Z,CHHATTISGARH,114
HAVERI,LOCATION,,,,2023-10-19T17:42:01.466Z,KARNATAKA,265
AURAIYA,LOCATION,,,,2023-10-19T17:42:01.467Z,UTTAR PRADESH,
GIR SOMANTH,LOCATION,,,,2023-10-19T17:42:01.453Z,GUJARAT,
CUTTACK,LOCATION,,,,2023-10-19T17:42:01.453Z,ODISHA,
KODERMA,LOCATION,,,,2023-10-19T17:42:01.454Z,JHARKHAND,
KENDRAPARA,LOCATION,,,,2023-10-19T17:42:01.454Z,ODISHA,64
LUNGLEI,LOCATION,,,,2023-10-19T17:42:01.454Z,MIZORAM,
ETAWAH,LOCATION,,,,2023-10-19T17:42:01.455Z,UTTAR PRADESH,111
RANGA REDDY,LOCATION,,,,2024-02-16T09:48:18.925Z,TELANGANA,87
PALAKKAD,LOCATION,,,,2023-10-19T17:42:01.455Z,KERALA,
DEOGHAR,LOCATION,,,,2023-10-19T17:42:01.455Z,JHARKHAND,
WEST SIANG,LOCATION,,,,2023-10-19T17:42:01.455Z,ARUNACHAL PRADESH,
SHAHJAHANPUR,LOCATION,,,,2023-10-19T17:42:01.456Z,UTTAR PRADESH,77
BALASORE,LOCATION,,,,2023-10-19T17:42:01.456Z,ODISHA,
GONDIA,LOCATION,,,,2023-10-19T17:42:01.456Z,MAHARASHTRA,160
KOKRAJHAR,LOCATION,,,,2023-10-19T17:42:01.457Z,ASSAM,
KOPPAL,LOCATION,,,,2023-10-19T17:42:01.458Z,KARNATAKA,92
KARAULI,LOCATION,,,,2023-10-19T17:42:01.458Z,RAJASTHAN,
PANCHKULA,LOCATION,,,,2023-10-19T17:42:01.459Z,HARYANA,11
KOZHIKODE,LOCATION,,,,2023-10-19T17:42:01.459Z,KERALA,
TUENSANG,LOCATION,,,,2023-10-19T17:42:01.460Z,NAGALAND,
KOHIMA,LOCATION,,,,2023-10-19T17:42:01.460Z,NAGALAND,
PRATAPGARH(UP),LOCATION,,,,2023-10-19T17:42:01.461Z,UTTAR PRADESH,64
KOREA,LOCATION,,,,2023-10-19T17:42:01.461Z,CHHATTISGARH,
DATIA,LOCATION,,,,2023-10-19T17:42:01.461Z,MADHYA PRADESH,76
JAYASHANKAR,LOCATION,,,,2023-10-19T17:42:01.461Z,TELANGANA,
SURYAPET,LOCATION,,,,2023-10-19T17:42:01.461Z,TELANGANA,
KRISHNA,LOCATION,,,,2023-10-19T17:42:01.461Z,ANDHRA PRADESH,52
CHITTORGARH,LOCATION,,,,2023-10-19T17:42:01.462Z,RAJASTHAN,110
ERODE,LOCATION,,,,2023-10-19T17:42:01.462Z,TAMIL NADU,68
LUDHIANA,LOCATION,,,,2023-10-19T17:42:01.463Z,PUNJAB,
DODA,LOCATION,,,,2023-10-19T17:42:01.463Z,JAMMU AND KASHMIR,58
BONGAIGAON,LOCATION,,,,2023-10-19T17:42:01.463Z,ASSAM,
